CITY;PRICES;PER CAPITA
Moji Mirim;2623156;30415,51
Mombuca;43793;13408,86
Monções;59177;27730,74
Mongaguá;439841;9497,76
Monte Alegre do Sul;123497;17277,20
Monte Alto;989970;21222,59
Monte Aprazível;397776;18290,22
Monte Azul Paulista;299825;15837,76
Monte Castelo;58909;14498,88
Monte Mor;1951513;39850,38
Monteiro Lobato;39813;9656,27
Morro Agudo;746017;25612,55
Morungaba;330295;28050,52
Motuca;70331;16394,22
Murutinga do Sul;43765;10455,14
Nantes;66289;24487,90
Narandiba;156959;36595,74
Natividade da Serra;46299;6930,00
Nazaré Paulista;211497;12885,94
Neves Paulista;139982;15948,75
Nhandeara;179510;16737,51
Nipoã;65242;15264,94
Nova Aliança;65382;11098,63
Nova Campina;197835;23233,70
Nova Canaã Paulista;22588;10684,72
Nova Castilho;27688;24567,51
Nova Europa;185748;19970,74
Nova Granada;217871;11360,46
Nova Guataporanga;16563;7604,52
Nova Independência;58156;18930,93
Nova Luzitânia;27765;8069,00
Nova Odessa;1714292;33431,34
Novais;40888;8898,30
Novo Horizonte;614481;16783,58
Nuporanga;292134;42853,76
Ocauçu;50859;12216,96
Óleo;30755;11505,92
Olímpia;1221160;24525,22
Onda Verde;130538;33609,25
Oriente;56244;9224,87
Orindiúva;248730;43805,84
Orlândia;1024669;25757,75
Osasco;45140281;67730,50
Oscar Bressane;30959;12193,26
Osvaldo Cruz;582677;18846,50
Ourinhos;1737814;16867,72
Ouro Verde;75545;9692,77
Ouroeste;536772;63855,84
Pacaembu;115577;8935,88
Palestina;219093;19823,80
Palmares Paulista;76689;7011,27
Palmeira d'Oeste;103399;10788,76
Palmital;406035;19101,23
Panorama;165751;11350,50
Paraguaçu Paulista;742918;17570,96
Paraibuna;207723;11949,08
Paraíso;140705;23820,04
Paranapanema;303287;17029,03
Paranapuã;45550;11939,70
Parapuã;190539;17570,93
Pardinho;145652;26093,18
Pariquera-Açu;278833;15110,45
Parisi;21046;10357,48
Patrocínio Paulista;368627;28351,53
Paulicéia;116941;18439,15
Paulínia;14685207;178760,89
Paulistânia;18485;10396,53
Paulo de Faria;154343;17969,88
Pederneiras;1348266;32464,87
Pedra Bela;41623;7201,16
Pedranópolis;32182;12566,30
Pedregulho;607475;38695,16
Pedreira;755090;18173,48
Pedrinhas Paulista;59836;20380,01
Pedro de Toledo;90254;8837,21
