Ouroeste;251,15
Ouro Verde;155,97
Pacaembu;238,88
Palestina;240,87
Palmares Paulista;216,82
Palmeira d'Oeste;241,72
Palmital;393,87
Panorama;282,63
Paraguaçu Paulista;270,12
Paraibuna;246,19
Paraíso;245,52
Paranapanema;257,95
Paranapuã;238,60
Parapuã;342,37
Pardinho;242,99
Pariquera-Açu;239,16
Parisi;223,17
Patrocínio Paulista;264,43
Paulicéia;215,37
Paulínia;503,34
Paulistânia;211,84
Paulo de Faria;259,25
Pederneiras;262,84
Pedra Bela;204,82
Pedranópolis;204,45
Pedregulho;236,75
Pedreira;363,83
Pedrinhas Paulista;356,99
Pedro de Toledo;218,79
Penápolis;361,32
Pereira Barreto;257,14
Pereiras;278,63
Peruíbe;311,83
Piacatu;230,81
Piedade;278,11
Pilar do Sul;318,73
Pindamonhangaba;332,01
Pindorama;262,81
Pinhalzinho;270,00
Piquerobi;208,49
Piquete;285,42
Piracaia;294,92
Piracicaba;455,87
Piraju;326,85
Pirajuí;272,30
Pirangi;264,28
Pirapora do Bom Jesus;237,80
Pirapozinho;293,29
Pirassununga;402,31
Piratininga;344,95
Pitangueiras;243,64
Planalto;233,84
Platina;199,61
Poá;302,49
Poloni;291,29
Pompéia;317,17
Pongaí;277,22
Pontal;355,00
Pontalinda;166,31
Pontes Gestal;225,06
Populina;209,95
Porangaba;243,69
Porto Feliz;289,85
Porto Ferreira;337,72
Potim;182,33
Potirendaba;300,61
Pracinha;159,75
Pradópolis;280,04
Praia Grande;377,92
Pratânia;254,16
Presidente Alves;230,32
Presidente Bernardes;257,55
Presidente Epitácio;291,60
Presidente Prudente;482,62
Presidente Venceslau;364,66
Promissão;265,22
Quadra;208,07
Quatá;268,29
Queiroz;171,00
Queluz;222,08
Quintana;215,83
Rafard;291,32
Rancharia;261,95
Redenção da Serra;168,42
Regente Feijó;294,94
Reginópolis;265,21
Registro;289,91
Restinga;189,70
Ribeira;126,36
Ribeirão Bonito;265,79
Ribeirão Branco;120,42
Ribeirão Corrente;201,96
Ribeirão do Sul;211,50
Ribeirão dos Índios;173,49
Ribeirão Grande;161,85
Ribeirão Pires;362,72
Ribeirão Preto;539,84
Riversul;148,43
Rifaina;248,51
Rincão;222,81
Rinópolis;229,84
Rio Claro;467,38
Rio das Pedras;298,16
Rio Grande da Serra;196,26
Riolândia;236,08
Rosana;295,93
Roseira;214,51
Rubiácea;241,81
Rubinéia;251,48
Sabino;265,27
Sagres;166,54
Sales;225,42
Sales Oliveira;318,39
Salesópolis;255,11
Salmourão;192,11
Saltinho;406,28
Salto;343,00
Salto de Pirapora;235,77
Salto Grande;238,70
Sandovalina;198,05
Santa Adélia;284,22
Santa Albertina;281,60
Santa Bárbara d'Oeste;325,31
Santa Branca;266,60
Santa Clara d'Oeste;202,13
Santa Cruz da Conceição;334,90
Santa Cruz da Esperança;237,65
Santa Cruz das Palmeiras;289,13
Santa Cruz do Rio Pardo;347,45
Santa Ernestina;236,55
Santa Fé do Sul;359,58
Santa Gertrudes;285,99
Santa Isabel;273,19
Santa Lúcia;212,81
Santa Maria da Serra;232,26
Santa Mercedes;193,48
Santana da Ponte Pensa;215,50
Santana de Parnaíba;762,05
Santa Rita d'Oeste;187,46
Santa Rita do Passa Quatro;471,37
Santa Rosa de Viterbo;298,00
Santa Salete;192,02
Santo Anastácio;261,49
Santo André;512,87
Santo Antônio da Alegria;262,49
Santo Antônio de Posse;319,23
Santo Antônio do Aracanguá;209,68
Santo Antônio do Jardim;231,04
Santo Antônio do Pinhal;281,61
Santo Expedito;212,73
Santópolis do Aguapeí;193,72
Santos;729,62
São Bento do Sapucaí;242,83
São Bernardo do Campo;505,45
São Caetano do Sul;834,00
São Carlos;456,25
São Francisco;197,82
São João da Boa Vista;408,33
São João das Duas Pontes;220,52
São João de Iracema;218,69
São João do Pau d'Alho;217,57
São Joaquim da Barra;338,37
São José da Bela Vista;199,59
São José do Barreiro;225,63
São José do Rio Pardo;337,97
São José do Rio Preto;512,01
São José dos Campos;470,02
São Lourenço da Serra;239,13
São Luís do Paraitinga;229,70
São Manuel;302,56
São Miguel Arcanjo;225,27
São Paulo;610,04
São Pedro;351,31
São Pedro do Turvo;188,04
São Roque;425,19
São Sebastião;359,14
São Sebastião da Grama;243,77
São Simão;312,81
São Vicente;330,52
Sarapuí;262,64
Sarutaiá;169,52
Sebastianópolis do Sul;225,89
Serra Azul;214,25
Serrana;237,34
Serra Negra;466,75
Sertãozinho;397,11
Sete Barras;159,39
Severínia;217,90
Silveiras;213,73
Socorro;320,87
Sorocaba;448,22
Sud Mennucci;245,37
Sumaré;291,61
Suzano;290,18
Suzanápolis;189,69
Tabapuã;248,38
Tabatinga;257,83
Taboão da Serra;357,00
Taciba;222,00
Taguaí;226,53
Taiaçu;240,12
Taiúva;295,40
Tambaú;256,18
Tanabi;297,61
Tapiraí;220,93
Tapiratiba;270,80
Taquaral;230,91
Taquaritinga;297,05
Taquarituba;238,46
Taquarivaí;166,56
Tarabai;180,50
Tarumã;238,54
Tatuí;333,02
Taubaté;460,87
Tejupá;168,31
Teodoro Sampaio;252,91
Terra Roxa;217,25
Tietê;428,91
Timburi;194,22
Torre de Pedra;202,26
Torrinha;299,11
Trabiju;233,62
Tremembé;383,76
Três Fronteiras;237,07
Tuiuti;237,12
Tupã;352,83
Tupi Paulista;316,48
Turiúba;242,18
Turmalina;224,27
Ubarana;190,83
Ubatuba;315,41
Ubirajara;192,94
Uchoa;250,04
União Paulista;198,32
Urânia;242,10
Uru;229,25
Urupês;283,49
Valentim Gentil;283,51
Valinhos;569,31
Valparaíso;284,17
Vargem;248,25
Vargem Grande do Sul;282,70
Vargem Grande Paulista;297,01
Várzea Paulista;260,31
Vera Cruz;272,51
Vinhedo;627,47
Viradouro;265,98
Vista Alegre do Alto;347,51
Vitória Brasil;191,02
Votorantim;304,28
Votuporanga;415,65
Zacarias;195,16
Chavantes;272,36
Estiva Gerbi;249,70
Santo Amaro;
