;2010;;2011;;2012;;2013 (1);;;;;;
;"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";;;;;
Chavantes;   161 263;    13312,11;   163 482;    13501,94;   198 816;    16428,35;   211 685;    16961,94;;;;;
Clementina;   176 960;    25051,01;   165 724;    23039,60;   84 989;    11616,93;   160 003;    20733,79;;;;;
Colina;   519 530;    29904,47;   576 999;    33111,41;   652 707;    37344,50;   642 069;    35459,74;;;;;
Colômbia;   223 428;    37275,28;   209 764;    34972,33;   217 335;    36216,53;   222 513;    35912,34;;;;;
Conchal;   341 481;    13528,27;   371 250;    14601,76;   426 680;    16657,42;   499 992;    18734,03;;;;;
Conchas;   207 253;    12713,37;   215 499;    13144,19;   240 724;    14591,96;   259 832;    15139,99;;;;;
Cordeirópolis;  1 801 544;    85441,97;  2 032 861;    95224,89;  2 151 904;    99592,91;  2 274 597;   1 00432,56;;;;;
Coroados;   82 572;    15764,05;   84 751;    15984,70;   90 645;    16904,99;   100 208;    17846,43;;;;;
Coronel Macedo;   38 018;    7602,00;   46 533;    9389,17;   55 178;    11231,06;   55 199;    11019,97;;;;;
Corumbataí;   98 593;    25449,81;   111 766;    28798,33;   118 601;    30512,34;   143 503;    35715,08;;;;;
Cosmópolis;   899 379;    15290,10;   995 148;    16602,96;  1 088 730;    17844,24;  1 229 257;    19083,40;;;;;
Cosmorama;   194 788;    27001,33;   223 916;    31090,74;   214 990;    29897,15;   222 968;    30114,47;;;;;
Cotia;  7 010 809;    34875,66;  8 268 652;    40304,61;  9 011 507;    43111,69;  9 883 959;    44735,74;;;;;
Cravinhos;   634 393;    20019,97;   725 765;    22720,63;   806 189;    25047,05;   955 636;    28489,89;;;;;
Cristais Paulista;   121 261;    15974,29;   102 333;    13348,88;   163 398;    21108,08;   133 406;    16492,28;;;;;
Cruzália;   38 838;    17109,44;   51 149;    22742,81;   58 533;    26318,75;   70 786;    31321,31;;;;;
Cruzeiro;  1 457 412;    18910,24;  1 624 182;    21008,15;  1 530 635;    19731,04;  1 925 412;    23945,53;;;;;
Cubatão;  8 759 369;    73733,93;  7 910 341;    66184,25;  7 240 647;    60191,76;  7 722 280;    61690,39;;;;;
