Código IBGE do Município;Código da Unidade da Federação;Sigla da Unidade da Federação;Nome das Grandes Regiões;Código IBGE da Mesoregião;Nome da Mesoregião;Código IBGE da Microregião;Nome da Microregião;IDHM 1991;IDHM 2000;IDHM 2010
354490;35;SP;Sudeste;3502;RibeirÒo Preto;35010;SÒo Joaquim da Barra;0,553;0,659;0,772
354500;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35062;Mogi das Cruzes;0,473;0,621;0,732
354510;35;SP;Sudeste;3508;Presidente Prudente;35035;Adamantina;0,446;0,607;0,719
354515;35;SP;Sudeste;3506;Piracicaba;35028;Piracicaba;0,573;0,751;0,791
354520;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,526;0,693;0,78
354530;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,46;0,63;0,729
354540;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,48;0,623;0,704
354550;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,513;0,646;0,709
354560;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35005;Catanduva;0,491;0,643;0,76
354570;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,468;0,657;0,728
354580;35;SP;Sudeste;3507;Campinas;35032;Campinas;0,532;0,688;0,781
354600;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35050;SÒo JosÚ dos Campos;0,5;0,657;0,735
354610;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,465;0,608;0,733
354620;35;SP;Sudeste;3506;Piracicaba;35027;Limeira;0,569;0,691;0,79
354625;35;SP;Sudeste;3502;RibeirÒo Preto;35015;Batatais;0,536;0,674;0,743
354630;35;SP;Sudeste;3507;Campinas;35029;Pirassununga;0,493;0,632;0,728
354640;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,547;0,672;0,762
354650;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,49;0,644;0,738
354660;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,584;0,706;0,784
354670;35;SP;Sudeste;3506;Piracicaba;35027;Limeira;0,554;0,644;0,737
354680;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35059;Guarulhos;0,456;0,628;0,738
354690;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,445;0,669;0,737
354700;35;SP;Sudeste;3506;Piracicaba;35028;Piracicaba;0,436;0,59;0,686
354710;35;SP;Sudeste;3508;Presidente Prudente;35034;Dracena;0,467;0,631;0,739
354720;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,474;0,683;0,773
354730;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35057;Osasco;0,554;0,713;0,814
354740;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,482;0,632;0,761
354750;35;SP;Sudeste;3502;RibeirÒo Preto;35014;RibeirÒo Preto;0,581;0,721;0,775
354760;35;SP;Sudeste;3502;RibeirÒo Preto;35014;RibeirÒo Preto;0,559;0,655;0,77
354765;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,455;0,673;0,772
354770;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,537;0,684;0,753
354780;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35061;SÒo Paulo;0,63;0,738;0,815
354790;35;SP;Sudeste;3502;RibeirÒo Preto;35015;Batatais;0,466;0,607;0,702
354800;35;SP;Sudeste;3507;Campinas;35031;Moji Mirim;0,484;0,619;0,702
354805;35;SP;Sudeste;3503;Araþatuba;35017;Araþatuba;0,447;0,659;0,757
354810;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,463;0,615;0,714
354820;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35049;Campos do JordÒo;0,442;0,616;0,706
354830;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,519;0,666;0,732
354840;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,51;0,642;0,74
354850;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35063;Santos;0,689;0,785;0,84
354860;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35049;Campos do JordÒo;0,467;0,601;0,72
354870;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35061;SÒo Paulo;0,642;0,74;0,805
354880;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35061;SÒo Paulo;0,697;0,82;0,862
354890;35;SP;Sudeste;3505;Araraquara;35025;SÒo Carlos;0,62;0,736;0,805
354900;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,445;0,631;0,723
354910;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,585;0,722;0,797
354920;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35002;Fernand¾polis;0,49;0,642;0,72
354925;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35006;Auriflama;0,406;0,677;0,748
354930;35;SP;Sudeste;3508;Presidente Prudente;35034;Dracena;0,517;0,641;0,75
354940;35;SP;Sudeste;3502;RibeirÒo Preto;35010;SÒo Joaquim da Barra;0,515;0,686;0,762
354950;35;SP;Sudeste;3502;RibeirÒo Preto;35012;Franca;0,459;0,581;0,693
354960;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35052;Bananal;0,405;0,614;0,684
354970;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,557;0,701;0,774
354980;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,61;0,745;0,797
354990;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35050;SÒo JosÚ dos Campos;0,607;0,739;0,807
354995;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35060;Itapecerica da Serra;0,449;0,6;0,728
355000;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35053;Paraibuna/Paraitinga;0,457;0,575;0,697
355010;35;SP;Sudeste;3504;Bauru;35023;Botucatu;0,496;0,645;0,744
355020;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35045;Piedade;0,447;0,587;0,71
355030;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35061;SÒo Paulo;0,626;0,733;0,805
355040;35;SP;Sudeste;3506;Piracicaba;35028;Piracicaba;0,524;0,677;0,755
355050;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,438;0,599;0,703
355060;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,53;0,69;0,768
355070;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35054;Caraguatatuba;0,52;0,663;0,772
355080;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,479;0,606;0,701
355090;35;SP;Sudeste;3502;RibeirÒo Preto;35014;RibeirÒo Preto;0,563;0,689;0,766
355100;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35063;Santos;0,561;0,689;0,768
355110;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,463;0,598;0,707
355120;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,431;0,534;0,688
