Código IBGE do Município;Código da Unidade da Federação;Sigla da Unidade da Federação;Nome das Grandes Regiões;Código IBGE da Mesoregião;Nome da Mesoregião;Código IBGE da Microregião;Nome da Microregião;IDHM 1991;IDHM 2000;IDHM 2010
352650;35;SP;Sudeste;3503;Araþatuba;35017;Araþatuba;0,502;0,646;0,721
352660;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35051;Guaratinguetß;0,474;0,618;0,729
352670;35;SP;Sudeste;3506;Piracicaba;35027;Limeira;0,514;0,635;0,744
352680;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,558;0,697;0,764
352690;35;SP;Sudeste;3506;Piracicaba;35027;Limeira;0,561;0,7;0,775
352700;35;SP;Sudeste;3507;Campinas;35033;Amparo;0,514;0,685;0,742
352710;35;SP;Sudeste;3504;Bauru;35019;Lins;0,598;0,723;0,786
352720;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35051;Guaratinguetß;0,591;0,699;0,766
352725;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,481;0,618;0,742
352730;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35047;JundiaÝ;0,513;0,665;0,777
352740;35;SP;Sudeste;3508;Presidente Prudente;35035;Adamantina;0,548;0,665;0,752
352750;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,439;0,598;0,733
352760;35;SP;Sudeste;3502;RibeirÒo Preto;35014;RibeirÒo Preto;0,481;0,672;0,731
352770;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,481;0,602;0,702
352780;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,433;0,592;0,724
352790;35;SP;Sudeste;3510;Assis;35039;Assis;0,467;0,657;0,72
352800;35;SP;Sudeste;3504;Bauru;35021;Ja·;0,522;0,641;0,77
352810;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35007;Nhandeara;0,484;0,666;0,743
352820;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35002;Fernand¾polis;0,47;0,619;0,74
352830;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35006;Auriflama;0,522;0,673;0,753
352840;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,525;0,658;0,743
352850;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35058;Franco da Rocha;0,533;0,682;0,788
352860;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,484;0,63;0,739
352870;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,415;0,584;0,677
352880;35;SP;Sudeste;3510;Assis;35039;Assis;0,515;0,679;0,771
352885;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35008;Novo Horizonte;0,41;0,613;0,752
352890;35;SP;Sudeste;3508;Presidente Prudente;35035;Adamantina;0,488;0,634;0,718
352900;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,601;0,725;0,798
352910;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,486;0,597;0,731
352920;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,516;0,645;0,721
352930;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,517;0,687;0,773
352940;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35061;SÒo Paulo;0,523;0,664;0,766
352950;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,487;0,666;0,744
352960;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35002;Fernand¾polis;0,452;0,621;0,731
352965;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,428;0,627;0,724
352970;35;SP;Sudeste;3502;RibeirÒo Preto;35010;SÒo Joaquim da Barra;0,498;0,649;0,741
352980;35;SP;Sudeste;3504;Bauru;35021;Ja·;0,492;0,642;0,73
352990;35;SP;Sudeste;3514;Litoral Sul Paulista;35055;Registro;0,452;0,563;0,697
353000;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35002;Fernand¾polis;0,425;0,626;0,743
353010;35;SP;Sudeste;3503;Araþatuba;35016;Andradina;0,545;0,679;0,751
353020;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,496;0,63;0,724
353030;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,542;0,709;0,762
353040;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,458;0,634;0,738
353050;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,538;0,678;0,762
353060;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35062;Mogi das Cruzes;0,566;0,701;0,783
353070;35;SP;Sudeste;3507;Campinas;35031;Moji Mirim;0,563;0,701;0,774
353080;35;SP;Sudeste;3507;Campinas;35031;Moji Mirim;0,574;0,718;0,784
353090;35;SP;Sudeste;3506;Piracicaba;35028;Piracicaba;0,526;0,606;0,719
353100;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35007;Nhandeara;0,428;0,647;0,772
353110;35;SP;Sudeste;3514;Litoral Sul Paulista;35056;ItanhaÚm;0,516;0,64;0,754
353120;35;SP;Sudeste;3507;Campinas;35033;Amparo;0,504;0,675;0,759
353130;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,574;0,703;0,768
353140;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35007;Nhandeara;0,557;0,704;0,785
353150;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,494;0,662;0,753
353160;35;SP;Sudeste;3508;Presidente Prudente;35034;Dracena;0,461;0,639;0,741
353170;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35049;Campos do JordÒo;0,466;0,613;0,71
353180;35;SP;Sudeste;3507;Campinas;35032;Campinas;0,46;0,62;0,733
353190;35;SP;Sudeste;3502;RibeirÒo Preto;35010;SÒo Joaquim da Barra;0,483;0,619;0,712
353200;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35048;Braganþa Paulista;0,513;0,646;0,715
353205;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,496;0,655;0,741
353210;35;SP;Sudeste;3503;Araþatuba;35016;Andradina;0,566;0,668;0,726
353215;35;SP;Sudeste;3510;Assis;35039;Assis;0,4;0,629;0,714
353220;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,432;0,587;0,718
353230;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35053;Paraibuna/Paraitinga;0,353;0,497;0,655
353240;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35048;Braganþa Paulista;0,407;0,527;0,678
353250;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35007;Nhandeara;0,516;0,693;0,754
353260;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35007;Nhandeara;0,55;0,701;0,751
353270;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35007;Nhandeara;0,439;0,607;0,713
353280;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,564;0,666;0,738
353282;35;SP;Sudeste;3511;Itapetininga;35041;Itapeva;0,234;0,525;0,651
353284;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,367;0,612;0,715
353286;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35006;Auriflama;0,435;0,633;0,756
353290;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,545;0,678;0,765
353300;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,508;0,654;0,739
353310;35;SP;Sudeste;3508;Presidente Prudente;35034;Dracena;0,493;0,639;0,726
353320;35;SP;Sudeste;3503;Araþatuba;35016;Andradina;0,434;0,644;0,735
353325;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35005;Catanduva;0,38;0,593;0,719
353330;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35006;Auriflama;0,493;0,663;0,743
353340;35;SP;Sudeste;3507;Campinas;35032;Campinas;0,577;0,705;0,791
353350;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35008;Novo Horizonte;0,546;0,679;0,753
353360;35;SP;Sudeste;3502;RibeirÒo Preto;35010;SÒo Joaquim da Barra;0,501;0,643;0,746
353370;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,504;0,628;0,717
353380;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,511;0,631;0,73
353390;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,539;0,686;0,773
353400;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,47;0,615;0,738
353410;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,526;0,667;0,77
353420;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,535;0,669;0,767
353430;35;SP;Sudeste;3502;RibeirÒo Preto;35010;SÒo Joaquim da Barra;0,578;0,701;0,78
353440;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35057;Osasco;0,572;0,706;0,776
353450;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,496;0,684;0,749
353460;35;SP;Sudeste;3508;Presidente Prudente;35035;Adamantina;0,581;0,705;0,762
353470;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,57;0,696;0,778
353475;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35002;Fernand¾polis;0,499;0,668;0,77
353480;35;SP;Sudeste;3508;Presidente Prudente;35034;Dracena;0,407;0,578;0,692
353490;35;SP;Sudeste;3508;Presidente Prudente;35035;Adamantina;0,517;0,66;0,725
353500;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,517;0,635;0,732
353510;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35005;Catanduva;0,433;0,574;0,722
353520;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,48;0,653;0,753
353530;35;SP;Sudeste;3510;Assis;35039;Assis;0,501;0,671;0,746
353540;35;SP;Sudeste;3508;Presidente Prudente;35034;Dracena;0,469;0,635;0,722
353550;35;SP;Sudeste;3510;Assis;35039;Assis;0,539;0,663;0,762
