"","Sigla","Codigo","Munic<U+00ED>pio","1991","2000"
"152","SP",3513702,"Descalvado",11.204,13.55
"153","SP",3513801,"Diadema",10.058,16.242
"154","SP",3513850,"Dirce Reis",49.683,27.017
"155","SP",3513900,"Divinol<U+00E2>ndia",29.402,19.437
"156","SP",3514007,"Dobrada",10.814,20.436
"157","SP",3514106,"Dois C<U+00F3>rregos",10.508,10.848
"158","SP",3514205,"Dolcin<U+00F3>polis",31.176,23.335
"159","SP",3514304,"Dourado",11.114,12.941
"160","SP",3514403,"Dracena",18.374,14.456
"161","SP",3514502,"Duartina",29.009,21.043
"162","SP",3514601,"Dumont",7.81,11.936
"163","SP",3514700,"Echapor<U+00E3>",32.397,24.014
"164","SP",3514809,"Eldorado",47.458,49.068
"165","SP",3514908,"Elias Fausto",25.693,21.176
"166","SP",3514924,"Elisi<U+00E1>rio",17.144,16.001
"167","SP",3514957,"Emba<U+00FA>ba",11.755,27.36
"168","SP",3515004,"Embu",13.02,20.136
"169","SP",3515103,"Embu-Gua<U+00E7>u",18.869,20.229
"170","SP",3515129,"Emilian<U+00F3>polis",38.012,30.302
"171","SP",3515152,"Engenheiro Coelho",16.197,13.743
"172","SP",3515186,"Esp<U+00ED>rito Santo do Pinhal",15.765,8.877
"173","SP",3515194,"Esp<U+00ED>rito Santo do Turvo",29.235,21.872
"174","SP",3515202,"Estrela d'Oeste",39.841,14.555
"175","SP",3515301,"Estrela do Norte",42.403,33.182
"176","SP",3515350,"Euclides da Cunha Paulista",46.174,44.378
"177","SP",3515400,"Fartura",43.867,25.82
"178","SP",3515509,"Fernand<U+00F3>polis",16.9,12.546
"179","SP",3515608,"Fernando Prestes",15.777,17.687
"180","SP",3515657,"Fern<U+00E3>o",61.651,25.75
"181","SP",3515707,"Ferraz de Vasconcelos",20.113,22.945
"182","SP",3515806,"Flora Rica",46.93,29.837
"183","SP",3515905,"Floreal",28.372,20.681
"184","SP",3516002,"Fl<U+00F3>rida Paulista",35.071,24.199
"185","SP",3516101,"Flor<U+00ED>nia",27.563,28.399
"186","SP",3516200,"Franca",6.775,8.282
"187","SP",3516309,"Francisco Morato",15.627,30.598
