;CITY;CLASS
506;SALESOPOLIS;1
507;SALMOURAO;1
508;SALTINHO;2
509;SALTO;2
510;SALTO DE PIRAPORA;2
511;SALTO GRANDE;1
512;SANDOVALINA;2
513;SANTA ADELIA;1
514;SANTA ALBERTINA;1
515;SANTA BARBARA D'OESTE;2
516;SANTA BRANCA;1
517;SANTA CLARA D'OESTE;1
518;SANTA CRUZ DA CONCEICAO;2
519;SANTA CRUZ DA ESPERANCA;1
520;SANTA CRUZ DAS PALMEIRAS;1
521;SANTA CRUZ DO RIO PARDO;2
522;SANTA ERNESTINA;1
523;SANTA FE DO SUL;2
524;SANTA GERTRUDES;2
525;SANTA ISABEL;2
526;SANTA LUCIA;1
527;SANTA MARIA DA SERRA;2
528;SANTA MERCEDES;1
529;SANTA RITA D'OESTE;1
530;SANTA RITA DO PASSA QUATRO;2
531;SANTA ROSA DE VITERBO;2
532;SANTA SALETE;1
533;SANTANA DA PONTE PENSA;1
534;SANTANA DE PARNAIBA;2
535;SANTO ANASTACIO;1
536;SANTO ANDRE;2
537;SANTO ANTONIO DA ALEGRIA;2
538;SANTO ANTONIO DE POSSE;2
539;SANTO ANTONIO DO ARACANGUA;2
540;SANTO ANTONIO DO JARDIM;1
541;SANTO ANTONIO DO PINHAL;1
542;SANTO EXPEDITO;1
543;SANTOPOLIS DO AGUAPEI;1
544;SANTOS;2
545;SAO BENTO DO SAPUCAI;1
546;SAO BERNARDO DO CAMPO;3
547;SAO CAETANO DO SUL;3
548;SAO CARLOS;2
549;SAO FRANCISCO;1
550;SAO JOAO DA BOA VISTA;2
551;SAO JOAO DAS DUAS PONTES;1
552;SAO JOAO DE IRACEMA;2
553;SAO JOAO DO PAU D'ALHO;1
554;SAO JOAQUIM DA BARRA;2
555;SAO JOSE DA BELA VISTA;1
556;SAO JOSE DO BARREIRO;1
557;SAO JOSE DO RIO PARDO;2
558;SAO JOSE DO RIO PRETO;2
559;SAO JOSE DOS CAMPOS;2
560;SAO LOURENCO DA SERRA;1
561;SAO LUIS DO PARAITINGA;1
562;SAO MANUEL;2
563;SAO MIGUEL ARCANJO;1
564;SAO PAULO;2
565;SAO PEDRO;1
566;SAO PEDRO DO TURVO;1
567;SAO ROQUE;2
568;SAO SEBASTIAO;3
569;SAO SEBASTIAO DA GRAMA;1
570;SAO SIMAO;2
571;SAO VICENTE;1
572;SARAPUI;1
573;SARUTAIA;1
574;SEBASTIANOPOLIS DO SUL;3
575;SERRA AZUL;1
576;SERRA NEGRA;1
577;SERRANA;1
578;SERTAOZINHO;2
579;SETE BARRAS;2
580;SEVERINIA;1
581;SILVEIRAS;1
582;SOCORRO;1
583;SOROCABA;2
584;SUD MENNUCCI;2
585;SUMARE;2
586;SUZANAPOLIS;2
587;SUZANO;2
588;TABAPUA;1
589;TABATINGA;1
590;TABOAO DA SERRA;2
591;TACIBA;2
592;TAGUAI;1
593;TAIACU;1
594;TAIUVA;1
595;TAMBAU;2
596;TANABI;2
597;TAPIRAI;1
598;TAPIRATIBA;1
599;TAQUARAL;1
600;TAQUARITINGA;1
601;TAQUARITUBA;1
602;TAQUARIVAI;1
603;TARABAI;1
604;TARUMA;2
605;TATUI;2
606;TAUBATE;2
607;TEJUPA;1
608;TEODORO SAMPAIO;1
609;TERRA ROXA;1
610;TIETE;2
611;TIMBURI;1
612;TORRE DE PEDRA;1
613;TORRINHA;1
614;TRABIJU;2
615;TREMEMBE;1
616;TRES FRONTEIRAS;1
617;TUIUTI;2
618;TUPA;1
619;TUPI PAULISTA;1
620;TURIUBA;2
621;TURMALINA;1
622;UBARANA;2
623;UBATUBA;1
624;UBIRAJARA;1
625;UCHOA;2
626;UNIAO PAULISTA;2
627;URANIA;1
628;URU;2
629;URUPES;1
630;VALENTIM GENTIL;2
631;VALINHOS;2
632;VALPARAISO;2
633;VARGEM;1
634;VARGEM GRANDE DO SUL;1
635;VARGEM GRANDE PAULISTA;2
636;VARZEA PAULISTA;2
637;VERA CRUZ;1
638;VINHEDO;3
639;VIRADOURO;1
640;VISTA ALEGRE DO ALTO;2
641;VITORIA BRASIL;1
642;VOTORANTIM;2
643;VOTUPORANGA;2
644;ZACARIAS;2
