CITY;CLASS
CESARIO LANGE;2
GUARARAPES;1
PALMEIRA D'OESTE;1
GUARANTA;1
GUARANTA;1
GETULINA;1
ITAPETININGA;1
DRACENA;1
PARAPUA;1
MIRANTE DO PARANAPANEMA;1
ALTO ALEGRE;1
BOREBI;1
QUATA;1
RIBEIRAO DOS INDIOS;1
JAU;1
MARILIA;1
GALIA;1
COSMOPOLIS;3
TANABI;1
URUPES;1
ICEM;1
GAVIAO PEIXOTO;1
PARAPUA;1
ITAPEVA;1
CAFELANDIA;1
UNIAO PAULISTA;1
JOSE BONIFACIO;1
PRESIDENTE VENCESLAU;1
TAQUARITUBA;1
CAPAO BONITO;2
GETULINA;1
MIRANDOPOLIS;1
MATAO;1
UBIRAJARA;1
NATIVIDADE DA SERRA;2
TACIBA;1
MONGAGUA;2
PEDRANOPOLIS;1
JACUPIRANGA;1
MIRANDOPOLIS;1
ERRO;1
JACUPIRANGA;1
IPORANGA;1
ELDORADO;1
PRESIDENTE ALVES;1
ITABERA;1
BIRITIBA-MIRIM;1
MOTUCA;1
BOTUCATU;1
ELDORADO;1
ARACOIABA DA SERRA;2
ALTINOPOLIS;1
COLINA;1
ELDORADO;1
LOUVEIRA;3
NOVA INDEPENDENCIA;1
PIRACICABA;3
PIRAJU;1
REGINOPOLIS;1
CONCHAL;1
PIRAPOZINHO;1
FRANCA;1
BORBOREMA;1
PORTO FERREIRA;1
ILHABELA;1
MARILIA;1
SALES OLIVEIRA;1
CHAVANTES;1
SAO MANUEL;1
SUZANO;2
ALVARES FLORENCE;1
PORTO FERREIRA;2
TAIUVA;1
SAO MANUEL;2
CASA BRANCA;1
FRANCA;3
BAURU;2
UCHOA;1
ALTINOPOLIS;1
URANIA;1
DOIS CORREGOS;1
SAO CARLOS;2
TAMBAU;1
ZACARIAS;1
MARTINOPOLIS;1
IRACEMAPOLIS;3
JABOTICABAL;1
SANTO ANASTACIO;1
JUNDIAI;3
DOIS CORREGOS;1
TIETE;1
PENAPOLIS;1
PRESIDENTE PRUDENTE;1
MONTE APRAZIVEL;1
BROTAS;1
MONTE APRAZIVEL;2
SANTA CRUZ DO RIO PARDO;2
IGUAPE;1
PARANAPANEMA;1
ARARAQUARA;1
SANTOS;2
MONTE CASTELO;1
BOTUCATU;1
IGARAPAVA;2
LIMEIRA;2
RINOPOLIS;1
TEODORO SAMPAIO;1
TATUI;2
CAIUA;1
CAMPINAS;1
APIAI;1
JERIQUARA;1
POMPEIA;1
PRAIA GRANDE;1
EMBAUBA;1
MAIRINQUE;3
RIBEIRAO BRANCO;1
MOGI GUACU;3
BURITIZAL;1
