;CITY;CLASS
435;LEME;1
436;MOGI GUACU;1
437;SERTAOZINHO;3
438;JALES;1
439;PLATINA;1
440;MOCOCA;3
441;MORRO AGUDO;1
442;ANHEMBI;1
443;VIRADOURO;1
444;SAO JOSE DOS CAMPOS;3
445;JUNQUEIROPOLIS;1
446;CACAPAVA;3
447;PIRAPOZINHO;1
448;SOROCABA;2
449;CORUMBATAI;3
450;SALTO GRANDE;3
451;AVARE;1
452;PONTES GESTAL;1
453;BRAGANCA PAULISTA;3
454;BURI;1
455;JOANOPOLIS;1
456;SAO JOSE DO RIO PARDO;1
457;LUPERCIO;1
458;GUAPIACU;1
459;ITATINGA;1
460;TAPIRAI;1
461;JARDINOPOLIS;3
462;BARIRI;1
463;SANTA RITA DO PASSA QUATRO;1
464;JACAREI;2
465;ITAPURA;1
466;ESTRELA D'OESTE;1
467;ADAMANTINA;1
468;PARAGUACU PAULISTA;1
469;SANDOVALINA;1
470;AVARE;1
471;SAO JOSE DOS CAMPOS;3
472;JUQUITIBA;1
473;IARAS;1
474;SANTA RITA DO PASSA QUATRO;1
475;MARACAI;1
476;RANCHARIA;1
477;MONTE AZUL PAULISTA;1
478;SAO CARLOS;1
479;RIBEIRAO BRANCO;1
480;IBIUNA;1
481;CASA BRANCA;1
482;BEBEDOURO;3
483;COLINA;3
484;SAO MANUEL;2
485;IACRI;1
486;JARINU;2
487;DIRCE REIS;1
488;CAIABU;1
489;PRESIDENTE VENCESLAU;1
490;SETE BARRAS;1
491;ITATINGA;1
492;SAO PEDRO DO TURVO;1
493;OLIMPIA;3
494;BENTO DE ABREU;1
495;RANCHARIA;1
496;PEDREGULHO;1
497;ARACATUBA;3
498;FARTURA;1
499;ITAI;1
500;GARCA;3
501;AMPARO;2
502;PEDREGULHO;1
503;IARAS;1
504;PORANGABA;1
505;ITAPETININGA;1
506;PERUIBE;3
507;ADOLFO;1
508;MURUTINGA DO SUL;1
509;BILAC;1
510;MIRACATU;1
511;IGUAPE;1
512;PRESIDENTE VENCESLAU;1
513;PRESIDENTE PRUDENTE;3
514;PIRATININGA;1
515;PEREIRA BARRETO;1
516;IACRI;1
517;AGUAI;1
518;TABAPUA;1
519;CAMPOS NOVOS PAULISTA;1
520;MIRACATU;1
521;BARRETOS;1
522;IGUAPE;1
523;JOAO RAMALHO;1
524;GENERAL SALGADO;1
525;BARRA DO TURVO;1
526;BORBOREMA;1
527;PARANAPANEMA;1
528;AREALVA;1
529;BURI;1
530;COLOMBIA;1
531;CASA BRANCA;1
532;IBIUNA;1
533;RIBEIRAO BONITO;1
534;BARRA DO CHAPEU;1
535;ADAMANTINA;1
536;CANANEIA;1
537;VALPARAISO;3
538;SANTA RITA DO PASSA QUATRO;1
539;JUQUITIBA;1
540;SAO PAULO;2
541;PITANGUEIRAS;1
542;SANTA RITA DO PASSA QUATRO;1
543;JACUPIRANGA;1
544;JOSE BONIFACIO;1
545;GUATAPARA;1
546;LUCIANOPOLIS;1
547;TAPIRAI;1
548;NANTES;1
549;REGISTRO;1
550;BURI;1
551;SANTANA DA PONTE PENSA;1
552;ITATINGA;1
553;MUNICIPIO DE ARACARIGUAMA;2
554;SANTA CRUZ DO RIO PARDO;1
555;GUARACI;1
556;MINEIROS DO TIETE;1
557;SERRA AZUL;1
558;BRAGANCA PAULISTA;3
559;CORONEL MACEDO;1
560;NUPORANGA;1
561;PIRACICABA;1
562;JUQUIA;1
563;SALES OLIVEIRA;1
564;CAJAMAR;2
565;CAMPOS NOVOS PAULISTA;1
566;CARDOSO;1
567;BOA ESPERANCA DO SUL;1
568;ITAI;1
569;OCAUCU;1
570;NARANDIBA;1
571;ITAPETININGA;1
572;ERRO;1
573;ERRO;1
574;MARTINOPOLIS;1
575;AGUDOS;1
576;RIOLANDIA;1
577;CAJURU;1
578;CUNHA;1
579;ITARARE;1
580;PROMISSAO;3
581;MONTE AZUL PAULISTA;1
582;BARRETOS;1
583;PRATANIA;1
584;MOGI GUACU;1
585;IBIUNA;1
586;NOVO HORIZONTE;3
587;BEBEDOURO;3
588;RIBEIRAO BONITO;1
589;CORDEIROPOLIS;3
590;ITATINGA;1
591;EMILIANOPOLIS;1
592;RINOPOLIS;1
593;SAO PEDRO DO TURVO;1
594;GENERAL SALGADO;1
595;SALESOPOLIS;1
596;BROTAS;1
597;CASTILHO;1
598;ITABERA;1
599;SANTO ANASTACIO;1
600;ALTINOPOLIS;1
601;ITAPETININGA;1
602;PEDREIRA;3
603;ZACARIAS;1
604;JUMIRIM;2
605;MONTE APRAZIVEL;3
606;GAVIAO PEIXOTO;1
607;ALTINOPOLIS;1
608;BARRA DO TURVO;1
609;SAO PAULO;2
610;GUAIRA;1
611;POMPEIA;1
612;CAFELANDIA;1
613;BIRIGUI;3
614;RIVERSUL;1
615;VOTUPORANGA;1
616;GUAIRA;1
617;PITANGUEIRAS;1
618;SANTA GERTRUDES;2
619;GETULINA;1
620;IBIUNA;1
621;SAO LUIZ DO PARAITINGA;1
622;ZACARIAS;1
623;ITARARE;1
624;TANABI;1
625;TARUMA;1
626;SUZANO;2
627;JABOTICABAL;1
628;URU;1
629;LENCOIS PAULISTA;1
630;PRESIDENTE BERNARDES;3
631;ORINDIUVA;1
632;PEDRO DE TOLEDO;1
633;ITUVERAVA;1
634;POMPEIA;1
635;GUARARAPES;1
636;AURIFLAMA;1
637;SALTO DE PIRAPORA;3
638;ITAPEVA;1
639;PEDRA BELA;3
640;MONTE CASTELO;1
641;CAPAO BONITO;1
642;CANDIDO MOTA;1
643;ITARARE;1
644;GUARULHOS;2
645;OSCAR BRESSANE;1
646;CAFELANDIA;1
647;ITATIBA;2
648;CACONDE;1
649;ITAPIRAPUA PAULISTA;1
650;ITAPETININGA;1
651;BROTAS;1
652;SILVEIRAS;1
653;TACIBA;1
654;TURMALINA;1
655;PILAR DO SUL;1
656;ARARAQUARA;3
657;SERRA NEGRA;3
658;PRESIDENTE BERNARDES;3
659;VARGEM;3
660;ALVARES FLORENCE;1
661;CHAVANTES;3
662;ITAI;1
663;SAO MIGUEL ARCANJO;1
664;CABRALIA PAULISTA;1
665;ITAPOLIS;1
666;DESCALVADO;1
667;GUARANI D'OESTE;1
668;FARTURA;1
669;IBIRA;3
670;CAPAO BONITO;1
671;RINCAO;1
672;CRUZEIRO;1
673;SAGRES;1
674;PARDINHO;1
675;PEDERNEIRAS;3
676;PRESIDENTE ALVES;1
677;MOCOCA;3
678;APARECIDA D'OESTE;1
679;UBATUBA;1
680;CANDIDO MOTA;1
681;MIRANTE DO PARANAPANEMA;1
682;BATATAIS;1
683;FLORIDA PAULISTA;1
684;PARAGUACU PAULISTA;1
685;LAVINIA;1
686;SOCORRO;1
687;BIRITIBA-MIRIM;1
688;ITAPIRA;3
689;MIRACATU;1
690;PIEDADE;3
691;RANCHARIA;1
692;PROMISSAO;3
693;QUATA;1
694;MIGUELOPOLIS;1
695;ANHUMAS;1
696;NOVA CASTILHO;1
697;REDENCAO DA SERRA;1
698;MARABA PAULISTA;1
699;MARABA PAULISTA;1
700;MIRANDOPOLIS;1
701;APIAI;1
702;CACONDE;1
703;CANDIDO MOTA;1
704;CARAGUATATUBA;1
705;ICEM;1
706;MIRACATU;1
707;IRAPUA;1
708;PRESIDENTE EPITACIO;1
709;PIEDADE;3
710;JUNQUEIROPOLIS;1
711;TAUBATE;1
712;INDIANA;3
713;CAIEIRAS;2
714;ASSIS;1
715;ITARARE;1
716;UBATUBA;1
717;LENCOIS PAULISTA;1
718;PEDRO DE TOLEDO;1
719;AVAI;1
720;CERQUEIRA CESAR;1
721;TAQUARITUBA;1
722;REGISTRO;1
723;POTIRENDABA;1
724;SETE BARRAS;1
725;CUNHA;1
726;AVANHANDAVA;3
727;COTIA;3
728;BARRA DO TURVO;1
729;MORUNGABA;3
730;GUARARAPES;1
731;OLIMPIA;3
732;DUARTINA;3
733;PAULICEIA;1
734;SOCORRO;1
735;SANTA ROSA DE VITERBO;1
736;LUTECIA;1
737;REDENCAO DA SERRA;1
738;FERNANDOPOLIS;3
739;ANDRADINA;1
740;IGUAPE;1
741;IRAPUA;1
742;AVARE;1
743;SAO JOSE DOS CAMPOS;3
744;SILVEIRAS;1
745;PARANAPANEMA;1
746;REGENTE FEIJO;1
747;BRAUNA;1
748;SAO CARLOS;1
749;ALTAIR;1
750;PINDAMONHANGABA;3
751;AMPARO;2
752;IGUAPE;1
753;SAO MIGUEL ARCANJO;1
754;SAO SIMAO;1
755;PARAPUA;1
756;BOITUVA;3
757;MARILIA;3
758;BRAGANCA PAULISTA;3
759;PRADOPOLIS;1
760;PIRACAIA;1
761;ITAPEVA;1
762;CLEMENTINA;1
763;AMERICO DE CAMPOS;1
764;DOIS CORREGOS;1
765;SAO JOAQUIM DA BARRA;3
766;PRESIDENTE EPITACIO;1
767;CAFELANDIA;1
768;ORINDIUVA;1
769;ARARAQUARA;3
770;ITAJOBI;1
771;DOLCINOPOLIS;1
772;PONTAL;3
773;MAIRIPORA;2
774;TARABAI;1
775;RIO DAS PEDRAS;3
776;SAO JOSE DA BELA VISTA;1
777;TAPIRAI;1
778;BATATAIS;1
779;PARAGUACU PAULISTA;1
780;RIVERSUL;1
781;PINHALZINHO;3
782;SANTA MARIA DA SERRA;1
783;TIETE;3
784;BREJO ALEGRE;1
785;BARUERI;2
786;EUCLIDES DA CUNHA PAULISTA;1
787;ALVARES MACHADO;3
788;PONGAI;1
789;SERTAOZINHO;3
790;SEBASTIANOPOLIS DO SUL;1
791;ORIENTE;3
792;ASSIS;1
793;SAO JOAO DO PAU D'ALHO;1
794;SABINO;1
795;DOURADO;1
796;SAO PEDRO;1
797;ITARARE;1
798;CUNHA;1
799;ALVARES MACHADO;3
800;RINOPOLIS;1
801;BOREBI;3
802;PATROCINIO PAULISTA;1
803;GUAREI;1
804;JUQUIA;1
805;IEPE;1
806;PRESIDENTE VENCESLAU;1
807;MONTEIRO LOBATO;1
808;LUIS ANTONIO;1
809;SANTA ISABEL;3
810;ANGATUBA;1
811;MIGUELOPOLIS;1
812;JAU;3
813;MOGI DAS CRUZES;1
814;MOMBUCA;3
815;GLICERIO;1
816;MOGI MIRIM;2
817;PAULINIA;2
818;PIRAJU;3
819;PACAEMBU;1
820;SANTA MERCEDES;1
821;DOIS CORREGOS;1
822;OLIMPIA;3
823;MONTE APRAZIVEL;3
824;RIBEIRAO DO SUL;1
825;SEBASTIANOPOLIS DO SUL;1
826;MARILIA;3
827;ARAMINA;1
828;ITAPOLIS;1
829;SANTA BRANCA;1
830;ITIRAPINA;1
831;SAO LOURENCO DA SERRA;1
832;ANHEMBI;1
833;PIRASSUNUNGA;1
834;COSMORAMA;1
835;CERQUEIRA CESAR;1
836;PAULICEIA;1
837;APIAI;1
838;ITU;3
839;MORRO AGUDO;1
840;PIRACAIA;1
841;ESTRELA DO NORTE;1
842;DUMONT;3
843;MARIAPOLIS;1
844;HORTOLANDIA;2
845;IGUAPE;1
846;NATIVIDADE DA SERRA;1
847;SUZANAPOLIS;1
848;SAO JOSE DA BELA VISTA;1
849;ECHAPORA;1
850;CASA BRANCA;1
851;PARANAPANEMA;1
852;REGISTRO;1
853;MICROREGION OF CARAGUATATUBA;2
854;LUCELIA;1
855;PIRASSUNUNGA;1
856;EMBU DAS ARTES;2
857;BOTUCATU;1
858;MIRANDOPOLIS;1
859;ITAI;1
860;PEDRANOPOLIS;1
861;SAO JOSE DOS CAMPOS;3
862;PIRACICABA;1
863;COLINA;3
864;SANDOVALINA;1
865;IRAPUA;1
866;PARAGUACU PAULISTA;1
867;GUAIRA;1
868;PARAGUACU PAULISTA;1
869;SAO MANUEL;2
870;AVAI;1
871;SAO SIMAO;1
872;LENCOIS PAULISTA;1
873;UCHOA;1
874;GUAPIACU;1
875;NATIVIDADE DA SERRA;1
876;IARAS;1
877;PIQUEROBI;1
878;JACAREI;2
879;CERQUEIRA CESAR;1
880;AVAI;1
881;CAPAO BONITO;1
882;CAPAO BONITO;1
883;PROMISSAO;3
884;NIPOA;1
885;MATAO;3
886;ANGATUBA;1
887;PINDAMONHANGABA;3
888;INDIANA;3
889;AGUAI;1
890;BOTUCATU;1
891;VALPARAISO;3
892;CESARIO LANGE;3
893;GUARARAPES;1
894;PALMEIRA D'OESTE;1
895;GUARANTA;1
896;GUARANTA;1
897;GETULINA;1
898;ITAPETININGA;1
899;DRACENA;1
900;PARAPUA;1
901;MIRANTE DO PARANAPANEMA;1
902;ALTO ALEGRE;1
903;BOREBI;3
904;QUATA;1
905;RIBEIRAO DOS INDIOS;1
906;JAU;3
907;MARILIA;3
908;GALIA;1
909;COSMOPOLIS;2
910;TANABI;1
911;URUPES;1
912;ICEM;1
913;GAVIAO PEIXOTO;1
914;PARAPUA;1
915;ITAPEVA;1
916;CAFELANDIA;1
917;UNIAO PAULISTA;1
918;JOSE BONIFACIO;1
919;PRESIDENTE VENCESLAU;1
920;TAQUARITUBA;1
921;CAPAO BONITO;1
922;GETULINA;1
923;MIRANDOPOLIS;1
924;MATAO;3
925;UBIRAJARA;1
926;NATIVIDADE DA SERRA;1
927;TACIBA;1
928;MONGAGUA;3
929;PEDRANOPOLIS;1
930;JACUPIRANGA;1
931;MIRANDOPOLIS;1
932;ERRO;1
933;JACUPIRANGA;1
934;IPORANGA;1
935;ELDORADO;1
936;PRESIDENTE ALVES;1
937;ITABERA;1
938;BIRITIBA-MIRIM;1
939;MOTUCA;1
940;BOTUCATU;1
941;ELDORADO;1
942;ARACOIABA DA SERRA;3
943;ALTINOPOLIS;1
944;COLINA;3
945;ELDORADO;1
946;LOUVEIRA;2
947;NOVA INDEPENDENCIA;1
948;PIRACICABA;1
949;PIRAJU;3
950;REGINOPOLIS;1
951;CONCHAL;1
952;PIRAPOZINHO;1
953;FRANCA;3
954;BORBOREMA;1
955;PORTO FERREIRA;1
956;ILHABELA;1
957;MARILIA;3
958;SALES OLIVEIRA;1
959;CHAVANTES;3
960;SAO MANUEL;2
961;SUZANO;2
962;ALVARES FLORENCE;1
963;PORTO FERREIRA;1
964;TAIUVA;1
965;SAO MANUEL;2
966;CASA BRANCA;1
967;FRANCA;3
968;BAURU;3
969;UCHOA;1
970;ALTINOPOLIS;1
971;URANIA;3
972;DOIS CORREGOS;1
973;SAO CARLOS;1
974;TAMBAU;1
975;ZACARIAS;1
976;MARTINOPOLIS;1
977;IRACEMAPOLIS;3
978;JABOTICABAL;1
979;SANTO ANASTACIO;1
980;JUNDIAI;2
981;DOIS CORREGOS;1
982;TIETE;3
983;PENAPOLIS;1
984;PRESIDENTE PRUDENTE;3
