"","City","UF Code","Microregion","Mesoregion","Coordinates"
"23","207","3502002","35025","3505","list(c(-47.626466184, -47.578386667, -47.550338939, -47.590396164, -47.5993154879999, -47.674526149, -47.7070804159999, -47.713178854, -47.731188, -47.7597079999999, -47.7603379999999, -47.799767275, -47.7894796099999, -47.752252911, -47.743983552, -47.7264171209999, -47.675769761, -47.65807613, -47.626466184, -22.0436037339999, -22.088927041, -22.1508006769999, -22.152506806, -22.1790695399999, -22.193493325, -22.210729519, -22.240091623, -22.2027419999999, -22.184292, -22.1634, -22.128151551, -22.097593896, 
-22.089352812, -22.054477543, -22.0415163489999, -22.013546698, -22.0517977929999, -22.0436037339999))"
"24","221","3502101","35016","3503","list(c(-51.14296992, -51.1884875389999, -51.226924186, -51.2421348939999, -51.290646115, -51.2969407219999, -51.283151873, -51.2885821849999, -51.305470385, -51.344525706, -51.382941269, -51.401972208, -51.4442081, -51.4755611049999, -51.466155852, -51.47727244, -51.4517087689999, -51.4481843899999, -51.419364327, -51.37159759, -51.342769526, -51.3154302689999, -51.23327618, -51.2000174299999, -51.1988977789999, -51.168236736, -51.134868625, -51.14296992, -20.8545292499999, -20.864026262, -20.848952346, 
-20.8580587339999, -20.869180248, -20.905819477, -20.919378734, -20.9542824929999, -20.975657537, -20.981976437, -21.036541583, -21.075381013, -21.081460243, -21.0497119509999, -20.995096469, -20.968133418, -20.8912522219999, -20.7706706669999, -20.681076558, -20.6900756489999, -20.682200015, -20.6743204389999, -20.646276461, -20.6512500539999, -20.6860167249999, -20.722761249, -20.7945016689999, -20.8545292499999))"
"25","224","3502200","35042","3511","list(c(-48.360145787, -48.3798937129999, -48.3560717989999, -48.37014721, -48.332156374, -48.307902806, -48.288948029, -48.26163614, -48.192842689, -48.23685921, -48.2746731889999, -48.3036914749999, -48.343329491, -48.3802476829999, -48.370926142, -48.396640325, -48.397938274, -48.414153831, -48.46952249, -48.520136426, -48.5349233909999, -48.5771031859999, -48.609533604, -48.6276418739999, -48.637019046, -48.6245169919999, -48.64274105, -48.652990331, -48.6331237709999, -48.6279331649999, -48.6474606049999, 
-48.592709859, -48.5540976139999, -48.491538866, -48.451863364, -48.406044702, -48.402863607, -48.360145787, -23.303005255, -23.3159007249999, -23.375321527, -23.408309475, -23.423962828, -23.416613023, -23.448233186, -23.4667451359999, -23.490207213, -23.51913565, -23.572042381, -23.5903650839999, -23.5752192369999, -23.5783194529999, -23.63153177, -23.618171419, -23.576758174, -23.5348782679999, -23.5291571299999, -23.509327078, -23.5411391659999, -23.5763020699999, -23.581782591, -23.5617568929999, 
-23.526294078, -23.4822618819999, -23.4718918409999, -23.4288880189999, -23.3978750589999, -23.356370441, -23.3290778149999, -23.315384681, -23.2793638109999, -23.261133308, -23.2725352959999, -23.2676308329999, -23.285281649, -23.303005255))"
"26","237","3502309","35023","3504","list(c(-48.0884643159999, -48.09858, -48.071714, -48.031539, -48.027507, -48.0319979999999, -48.0475286289999, -48.086189722, -48.104765242, -48.1319513399999, -48.139504678, -48.122518116, -48.138222618, -48.1321677519999, -48.162189379, -48.1775970319999, -48.2180294199999, -48.2403464499999, -48.2913374739999, -48.3017138709999, -48.2932176959999, -48.260348671, -48.257218813, -48.263790591, -48.284508731, -48.248217129, -48.2500161899999, -48.2400979889999, -48.246377642, -48.213808306, -48.156305969, 
-48.096353134, -48.0884643159999, -22.651898358, -22.688369, -22.73635, -22.7192489999999, -22.752895, -22.8257439999999, -22.8318929499999, -22.8212963199999, -22.829467843, -22.881365358, -22.917354281, -22.9304212549999, -22.964940413, -22.982226135, -22.9981704099999, -22.97913095, -22.993477566, -22.973667443, -22.95824913, -22.914132073, -22.8767898679999, -22.866477501, -22.8284653379999, -22.76684684, -22.736352272, -22.732754432, -22.6780291609999, -22.6490972139999, -22.619038722, -22.615206123, 
-22.637757732, -22.623423685, -22.651898358))"
"27","238","3502408","35036","3508","list(c(-51.399267003, -51.356099028, -51.346415481, -51.3524162159999, -51.3490130179999, -51.364111145, -51.3927294119999, -51.4133313419999, -51.4337514769999, -51.452759468, -51.467343668, -51.5200093189999, -51.4926666439999, -51.460463521, -51.450395167, -51.413042903, -51.434035525, -51.399267003, -22.2034661599999, -22.258978009, -22.3001335289999, -22.323881705, -22.348757635, -22.3798062939999, -22.410261227, -22.472946259, -22.4822483629999, -22.515665122, -22.4847319579999, -22.4585274299999, 
-22.362011418, -22.30849068, -22.2742321329999, -22.244603395, -22.205469992, -22.2034661599999))"
"28","258","3502507","35051","3513","list(c(-45.234386704, -45.257747732, -45.2783413019999, -45.25499231, -45.2709495349999, -45.2782176059999, -45.2520236459999, -45.2374557159999, -45.200218794, -45.207788013, -45.2121384719999, -45.195104725, -45.234386704, -23.001112733, -23.008000614, -22.931884221, -22.8965661669999, -22.8855944749999, -22.851126038, -22.846507398, -22.8243057679999, -22.8410806979999, -22.862957969, -22.9419961909999, -22.977369327, -23.001112733))"
"29","259","3502606","35001","3501","list(c(-50.843703776, -50.8385479799999, -50.857922784, -50.8629884499999, -50.87309822, -50.9130004089999, -50.9364872579999, -50.966284908, -50.969178099, -50.981872976, -50.9807208619999, -50.990836987, -50.970399729, -50.96708258, -50.88082044, -50.843703776, -20.414645117, -20.412071559, -20.4386037099999, -20.5258353299999, -20.5423953169999, -20.540866643, -20.5548187009999, -20.549228027, -20.510667139, -20.4968635779999, -20.457480464, -20.431723038, -20.4032676749999, -20.399979812, -20.4233562499999, 
-20.414645117))"
"30","267","3502705","35044","3511","list(c(-48.9869712459999, -48.980185707, -48.9487053789999, -48.883455999, -48.8656170849999, -48.7818102919999, -48.690318337, -48.671169173, -48.6450749219999, -48.605173333, -48.589125999, -48.514237867, -48.491514316, -48.5495645309999, -48.5862689109999, -48.613239553, -48.654633975, -48.687875353, -48.72788568, -48.789183636, -48.886755583, -48.901341413, -48.9786332259999, -48.9818917439999, -48.941710471, -48.9515145129999, -49.0232034169999, -49.058354412, -49.090406371, -49.119901214, -49.093288152, 
-49.0751669969999, -49.1078588239999, -49.062984706, -49.024712306, -48.9869712459999, -24.3123399839999, -24.3467211399999, -24.329172015, -24.33062065, -24.3440503859999, -24.357525482, -24.391398807, -24.355908187, -24.332039192, -24.3322122, -24.342048603, -24.338095531, -24.377753577, -24.4404586759999, -24.43477831, -24.453063734, -24.456090913, -24.5008023089999, -24.527553472, -24.558152073, -24.58609935, -24.55648495, -24.534923943, -24.523782712, -24.485143756, -24.453087013, -24.375872165, 
-24.374521859, -24.3446412009999, -24.3300711429999, -24.3184726439999, -24.2843458209999, -24.250668041, -24.243155944, -24.270684434, -24.3123399839999))"
"31","284","3502754","35046","3512","list(c(-47.037523, -47.010656, -47.0171779999999, -46.995036, -47.043937, -47.066885, -47.120638, -47.140681, -47.1383729999999, -47.133502391, -47.121622939, -47.097908032, -47.102610102, -47.042914712, -47.030601697, -47.037523, -23.4355689999999, -23.4463699999999, -23.4730759999999, -23.506993, -23.5160989999999, -23.478101, -23.480899, -23.447468, -23.411531, -23.380632475, -23.403526706, -23.399231759, -23.3694846989999, -23.3522612529999, -23.3717499649999, -23.4355689999999))"
"32","288","3502804","35017","3503","list(c(-50.358189763, -50.3469798249999, -50.3562581209999, -50.380442863, -50.403571884, -50.3904435169999, -50.4665508209999, -50.465716319, -50.484066288, -50.5232412299999, -50.5392611729999, -50.553786745, -50.581676021, -50.622271117, -50.6040903689999, -50.603118464, -50.573027978, -50.544144463, -50.544895002, -50.57720943, -50.572009823, -50.602317864, -50.622860552, -50.6166045919999, -50.639101453, -50.640757991, -50.694696122, -50.797304759, -50.797904473, -50.850188983, -50.899600769, 
-50.863926793, -50.866600026, -50.805341294, -50.763389235, -50.677621315, -50.634358898, -50.6131418529999, -50.5732669079999, -50.5296030819999, -50.5264294629999, -50.456304941, -50.425499175, -50.3949713009999, -50.358189763, -21.0435477309999, -21.0602736779999, -21.126371427, -21.15404546, -21.232557839, -21.251682155, -21.2971088629999, -21.307725674, -21.35104503, -21.3895974329999, -21.437167282, -21.4498877419999, -21.441754901, -21.4517189499999, -21.4159538939999, -21.364693925, -21.2958967759999, 
-21.270862302, -21.25222245, -21.202883593, -21.191682123, -21.142982446, -21.1287811949999, -21.106035509, -21.07135069, -21.0467180429999, -21.0318624769999, -20.9852211799999, -20.9635465179999, -20.935912715, -20.9097713859999, -20.8448373919999, -20.830515911, -20.8709067419999, -20.8919880299999, -20.8923621239999, -20.950460344, -20.968503695, -20.9769092019999, -21.0191832419999, -21.0333046279999, -21.0453280749999, -21.03526555, -21.063030773, -21.0435477309999))"
