;CITY;HDI;SCORE
14638;IPIGUÁ;0,73;2
14639;IPORANGA;0,703;2
14640;IPUÃ;0,749;2
14641;IRACEMÁPOLIS;0,776;2
14642;IRAPUÃ;0,713;2
14643;IRAPURU;0,712;2
14644;ITABERÁ;0,693;3
14645;ITAÍ;0,713;2
14646;ITAJOBI;0,73;2
14647;ITAJU;0,705;2
14648;ITANHAÉM;0,745;2
14649;ITAÓCA;0,68;3
14650;ITAPECERICA DA SERRA;0,742;2
14651;ITAPETININGA;0,763;2
14652;ITAPEVA;0,732;2
14653;ITAPEVI;0,735;2
14654;ITAPIRA;0,762;2
14655;ITAPIRAPUÃ PAULISTA;0,661;3
14656;ITÁPOLIS;0,744;2
14657;ITAPORANGA;0,719;2
14658;ITAPUÍ;0,725;2
14659;ITAPURA;0,72;2
14660;ITAQUAQUECETUBA;0,714;2
14661;ITARARÉ;0,703;2
14662;ITARIRI;0,677;3
14663;ITATIBA;0,778;2
14664;ITATINGA;0,706;2
14665;ITIRAPINA;0,724;2
14666;ITIRAPUÃ;0,707;2
14667;ITOBI;0,717;2
14668;ITU;0,773;2
14669;ITUPEVA;0,762;2
14670;ITUVERAVA;0,765;2
14671;JABORANDI;0,711;2
14672;JABOTICABAL;0,778;2
14673;JACAREÍ;0,777;2
14674;JACI;0,723;2
14675;JACUPIRANGA;0,717;2
14676;JAGUARIÚNA;0,784;2
14677;JALES;0,776;2
14678;JAMBEIRO;0,756;2
14679;JANDIRA;0,76;2
14680;JARDINÓPOLIS;0,735;2
14681;JARINU;0,733;2
14682;JAÚ;0,778;2
14683;JERIQUARA;0,703;2
14684;JOANÓPOLIS;0,699;3
14685;JOÃO RAMALHO;0,741;2
14686;JOSÉ BONIFÁCIO;0,777;2
14687;JÚLIO MESQUITA;0,716;2
14688;JUMIRIM;0,741;2
14689;JUNDIAÍ;0,822;1
14690;JUNQUEIRÓPOLIS;0,745;2
14691;JUQUIÁ;0,7;2
14692;JUQUITIBA;0,709;2
14693;LAGOINHA;0,693;3
14694;LARANJAL PAULISTA;0,729;2
14695;LAVÍNIA;0,721;2
14696;LAVRINHAS;0,729;2
14697;LEME;0,744;2
14698;LENÇÓIS PAULISTA;0,764;2
14699;LIMEIRA;0,775;2
14700;LINDÓIA;0,742;2
14701;LINS;0,786;2
14702;LORENA;0,766;2
14703;LOURDES;0,742;2
14704;LOUVEIRA;0,777;2
14705;LUCÉLIA;0,752;2
14706;LUCIANÓPOLIS;0,733;2
14707;LUÍS ANTÔNIO;0,731;2
14708;LUIZIÂNIA;0,702;2
14709;LUPÉRCIO;0,724;2
14710;LUTÉCIA;0,72;2
14711;MACATUBA;0,77;2
14712;MACAUBAL;0,743;2
14713;MACEDÔNIA;0,74;2
14714;MAGDA;0,753;2
14715;MAIRINQUE;0,743;2
14716;MAIRIPORÃ;0,788;2
14717;MANDURI;0,739;2
14718;MARABÁ PAULISTA;0,677;3
14719;MARACAÍ;0,771;2
14720;MARAPOAMA;0,752;2
14721;MARIÁPOLIS;0,718;2
14722;MARÍLIA;0,798;2
14723;MARINÓPOLIS;0,731;2
14724;MARTINÓPOLIS;0,721;2
14725;MATÃO;0,773;2
14726;MAUÁ;0,766;2
14727;MENDONÇA;0,744;2
14728;MERIDIANO;0,731;2
14729;MESÓPOLIS;0,724;2
14730;MIGUELÓPOLIS;0,741;2
14731;MINEIROS DO TIETÊ;0,73;2
14732;MIRACATU;0,697;3
14733;MIRA ESTRELA;0,743;2
14734;MIRANDÓPOLIS;0,751;2
14735;MIRANTE DO PARANAPANEMA;0,724;2
14736;MIRASSOL;0,762;2
14737;MIRASSOLÂNDIA;0,738;2
14738;MOCOCA;0,762;2
14739;MOGI DAS CRUZES;0,783;2
14740;MOGI GUAÇU;0,774;2
14741;MOJI MIRIM;0,784;2
14742;MOMBUCA;0,719;2
14743;MONÇÕES;0,772;2
14744;MONGAGUÁ;0,754;2
14745;MONTE ALEGRE DO SUL;0,759;2
14746;MONTE ALTO;0,768;2
14747;MONTE APRAZÍVEL;0,785;2
14748;MONTE AZUL PAULISTA;0,753;2
14749;MONTE CASTELO;0,741;2
14750;MONTEIRO LOBATO;0,71;2
14751;MONTE MOR;0,733;2
14752;MORRO AGUDO;0,712;2
14753;MORUNGABA;0,715;2
14754;MOTUCA;0,741;2
14755;MURUTINGA DO SUL;0,726;2
14756;NANTES;0,714;2
14757;NARANDIBA;0,718;2
14758;NATIVIDADE DA SERRA;0,655;3
14759;NAZARÉ PAULISTA;0,678;3
14760;NEVES PAULISTA;0,754;2
14761;NHANDEARA;0,751;2
14762;NIPOÃ;0,713;2
14763;NOVA ALIANÇA;0,738;2
14764;NOVA CAMPINA;0,651;3
14765;NOVA CANAÃ PAULISTA;0,715;2
14766;NOVA CASTILHO;0,756;2
14767;NOVA EUROPA;0,765;2
14768;NOVA GRANADA;0,739;2
14769;NOVA GUATAPORANGA;0,726;2
14770;NOVA INDEPENDÊNCIA;0,735;2
14771;NOVAIS;0,719;2
14772;NOVA LUZITÂNIA;0,743;2
14773;NOVA ODESSA;0,791;2
14774;NOVO HORIZONTE;0,753;2
14775;NUPORANGA;0,746;2
14776;OCAUÇU;0,717;2
14777;ÓLEO;0,73;2
14778;OLÍMPIA;0,773;2
14779;ONDA VERDE;0,738;2
14780;ORIENTE;0,77;2
14781;ORINDIÚVA;0,767;2
14782;ORLÂNDIA;0,78;2
14783;OSASCO;0,776;2
14784;OSCAR BRESSANE;0,749;2
14785;OSVALDO CRUZ;0,762;2
14786;OURINHOS;0,778;2
14787;OUROESTE;0,77;2
14788;OURO VERDE;0,692;3
14789;PACAEMBU;0,725;2
14790;PALESTINA;0,732;2
